id,item_id,price,week,year,date_created,date_updated
3096,77011000002,30000000.00,11,2024,2024-03-17T14:20:07+00:00,2024-03-17T14:20:07+00:00
8075,77011000002,30000000.00,13,2024,2024-03-25T15:25:39+00:00,2024-03-27T11:14:57+00:00
12444,77011000002,30000000.00,14,2024,2024-04-03T10:46:48+00:00,2024-04-03T10:46:48+00:00
16668,77011000002,30000000.00,15,2024,2024-04-10T12:46:42+00:00,2024-04-10T12:46:42+00:00
20877,77011000002,30000000.00,16,2024,2024-04-17T11:30:04+00:00,2024-04-17T11:30:04+00:00
25042,77011000002,30000000.00,17,2024,2024-04-24T19:30:28+00:00,2024-04-24T19:30:28+00:00
29217,77011000002,30000000.00,18,2024,2024-05-01T10:44:17+00:00,2024-05-01T10:44:17+00:00
33352,77011000002,30000000.00,19,2024,2024-05-08T18:05:35+00:00,2024-05-08T18:05:35+00:00
37492,77011000002,30000000.00,20,2024,2024-05-15T18:22:17+00:00,2024-05-15T18:22:17+00:00
41675,77011000002,30000000.00,21,2024,2024-05-22T14:14:13+00:00,2024-05-22T14:14:13+00:00
45831,77011000002,30000000.00,22,2024,2024-05-30T22:18:31+00:00,2024-05-30T22:18:31+00:00
49999,77011000002,30000000.00,23,2024,2024-06-06T20:48:44+00:00,2024-06-06T20:48:44+00:00
54167,77011000002,30000000.00,24,2024,2024-06-14T11:01:36+00:00,2024-06-14T11:01:36+00:00
58328,77011000002,30000000.00,25,2024,2024-06-19T19:44:59+00:00,2024-06-19T19:44:59+00:00
62485,77011000002,30000000.00,26,2024,2024-06-26T13:27:17+00:00,2024-06-26T13:27:17+00:00
66655,77011000002,30000000.00,27,2024,2024-07-05T19:32:38+00:00,2024-07-05T19:32:38+00:00
70833,77011000002,30000000.00,28,2024,2024-07-11T08:58:18+00:00,2024-07-11T08:58:18+00:00
75080,77011000002,30000000.00,29,2024,2024-07-21T13:30:39+00:00,2024-07-21T13:30:39+00:00
79346,77011000002,30000000.00,30,2024,2024-07-26T16:30:59+00:00,2024-07-26T16:30:59+00:00
83566,77011000002,30000000.00,32,2024,2024-08-07T20:21:11+00:00,2024-08-09T14:33:54+00:00
87882,77011000002,30000000.00,35,2024,2024-08-30T14:18:07+00:00,2024-08-30T14:18:07+00:00
92216,77011000002,30000000.00,37,2024,2024-09-11T14:24:57+00:00,2024-09-11T14:24:57+00:00
96535,77011000002,30000000.00,38,2024,2024-09-18T15:03:02+00:00,2024-09-18T15:03:02+00:00
100836,77011000002,30000000.00,39,2024,2024-09-25T12:14:25+00:00,2024-09-25T12:14:25+00:00
105082,77011000002,30000000.00,41,2024,2024-10-11T17:10:59+00:00,2024-10-11T17:10:59+00:00
109358,77011000002,30000000.00,44,2024,2024-11-03T16:48:12+00:00,2024-11-03T16:48:12+00:00
113582,77011000002,30000000.00,47,2024,2024-11-20T11:42:31+00:00,2024-11-20T11:42:31+00:00
117785,77011000002,30000000.00,50,2024,2024-12-11T16:53:23+00:00,2024-12-11T16:53:23+00:00
122051,77011000002,30000000.00,51,2024,2024-12-18T12:37:13+00:00,2024-12-18T12:37:13+00:00
126214,77011000002,30000000.00,1,2025,2025-01-01T20:14:43+00:00,2025-01-01T20:14:43+00:00
130489,77011000002,30000000.00,3,2025,2025-01-15T21:10:16+00:00,2025-01-15T21:10:16+00:00
134764,77011000002,30000000.00,6,2025,2025-02-04T20:28:27+00:00,2025-02-04T20:28:27+00:00
139250,77011000002,30000000.00,10,2025,2025-03-03T17:27:26+00:00,2025-03-03T17:27:26+00:00
143774,77011000002,30000000.00,11,2025,2025-03-12T11:06:41+00:00,2025-03-12T11:06:41+00:00
148257,77011000002,30000000.00,13,2025,2025-03-26T16:31:44+00:00,2025-03-26T16:31:44+00:00
152785,77011000002,30000000.00,15,2025,2025-04-09T13:40:32+00:00,2025-04-09T13:40:32+00:00
157273,77011000002,30000000.00,17,2025,2025-04-23T12:09:30+00:00,2025-04-23T12:09:30+00:00
161750,77011000002,30000000.00,19,2025,2025-05-07T13:08:39+00:00,2025-05-07T13:08:39+00:00
166266,77011000002,30000000.00,21,2025,2025-05-21T19:52:28+00:00,2025-05-21T19:52:28+00:00
170692,77011000002,30000000.00,23,2025,2025-06-04T11:23:53+00:00,2025-06-04T11:23:53+00:00
175206,77011000002,30000000.00,25,2025,2025-06-18T11:59:04+00:00,2025-06-18T11:59:04+00:00
179707,77011000002,30000000.00,26,2025,2025-06-25T17:30:32+00:00,2025-06-25T17:30:32+00:00
184170,77011000002,30000000.00,28,2025,2025-07-09T13:12:47+00:00,2025-07-09T13:12:47+00:00
188601,77011000002,30000000.00,30,2025,2025-07-23T20:43:09+00:00,2025-07-23T20:43:09+00:00
193005,77011000002,30000000.00,32,2025,2025-08-06T13:32:15+00:00,2025-08-06T13:32:15+00:00
193006,77011000002,30000000.00,36,2025,2025-09-02T09:21:37+00:00,2025-09-02T09:21:37+00:00
