id,item_id,price,week,year,date_created,date_updated
8584,61707210006,500.00,13,2024,2024-03-27T11:14:34+00:00,2024-03-27T11:14:34+00:00
12049,61707210006,500.00,14,2024,2024-04-03T10:46:23+00:00,2024-04-03T10:46:23+00:00
41244,61707210006,10111.00,21,2024,2024-05-22T14:13:45+00:00,2024-05-22T14:13:45+00:00
45400,61707210006,10111.00,22,2024,2024-05-30T22:18:03+00:00,2024-05-30T22:18:03+00:00
91768,61707210006,25000000.00,37,2024,2024-09-11T14:24:23+00:00,2024-09-11T14:24:23+00:00
96087,61707210006,25000000.00,38,2024,2024-09-18T15:02:31+00:00,2024-09-18T15:02:31+00:00
117358,61707210006,12500167.50,50,2024,2024-12-11T16:52:43+00:00,2024-12-11T16:52:43+00:00
125788,61707210006,8889.00,1,2025,2025-01-01T20:14:01+00:00,2025-01-01T20:14:01+00:00
138743,61707210006,11597736.05,10,2025,2025-03-03T17:26:36+00:00,2025-03-03T17:26:36+00:00
143251,61707210006,25677334.90,11,2025,2025-03-12T11:05:46+00:00,2025-03-12T11:05:46+00:00
147758,61707210006,40876.90,13,2025,2025-03-26T16:30:55+00:00,2025-03-26T16:30:55+00:00
152280,61707210006,266251.87,15,2025,2025-04-09T13:39:30+00:00,2025-04-09T13:39:30+00:00
156785,61707210006,44881111.12,17,2025,2025-04-23T12:08:44+00:00,2025-04-23T12:08:44+00:00
161258,61707210006,40909118.18,19,2025,2025-05-07T13:07:53+00:00,2025-05-07T13:07:53+00:00
165767,61707210006,12872.22,21,2025,2025-05-21T19:51:39+00:00,2025-05-21T19:51:39+00:00
170201,61707210006,102600.00,23,2025,2025-06-04T11:23:03+00:00,2025-06-04T11:23:03+00:00
174704,61707210006,27100000.00,25,2025,2025-06-18T11:58:16+00:00,2025-06-18T11:58:16+00:00
179218,61707210006,30008629.33,26,2025,2025-06-25T17:29:43+00:00,2025-06-25T17:29:43+00:00
196874,61707210006,1666733.33,36,2025,2025-09-02T09:20:49+00:00,2025-09-02T09:20:49+00:00
218575,61707210006,666670.00,51,2025,2025-12-20T14:25:45+00:00,2025-12-20T14:25:45+00:00
